RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME,Sample BusNames
BRISCOE_WIND,BRISCOE,WIND,
BRPANGLE_RN,ANGLETON,UNIT1,
BRPMAGNO_RN,MAGNO_TN,UNIT1,
BRP_BRAZ_RN,BRAZORIA,UNIT1,
BRP_DIKN_RN,DICKNSON,UNIT1,
BRP_LOOP_RN,L_463S,UNIT1,
BRP_LOP1_RN,BRP_LOP1,UNIT1,
BRP_PBL1_RN,BRP_PBL1,UNIT1,
BRP_PBL2_RN,BRP_PBL2,UNIT1,
BRP_RN_UNIT1,K0,UNIT1,
BRP_SWNY_RN,SWEENY,UNIT1,
BRP_ZPT1_RN,BRP_ZPT1,UNIT1,
BRP_ZPT2_RN,BRP_ZPT2,UNIT1,
BRTSW_BCW1,BRTSW,BCW1,
BR_ARROW_ALL,BR_ARROW,UNIT1,
BR_ARROW_ALL,BR_ARROW,UNIT2,
BR_VHB6CT5_6,BRAUNIG,VHB6CT5,
BR_VHB6CT5_6,BRAUNIG,VHB6CT6,
BR_VHB6CT7_8,BRAUNIG,VHB6CT7,
BR_VHB6CT7_8,BRAUNIG,VHB6CT8,
BSS_U1,WCOLLDG,BSS_U1,
BTE_BTE_G1,BTE,BTE_G1,
BTE_BTE_G2,BTE,BTE_G2,
BTE_BTE_G3,BTE,BTE_G3,
BTE_BTE_G4,BTE,BTE_G4,
BTM_ALL,BTM,UNIT1,
BTM_ALL,BTM,UNIT2,
BTM_ALL,BTM,UNIT3,
BTM_ALL,BTM,UNIT4,
BTM_ALL,BTM,UNIT5,
BTM_ALL,BTM,UNIT6,
BTM_ALL,BTM,UNIT7,
BTM_ALL,BTM,UNIT8,
BUCHAN_ALL,BUCHAN,BUCHANG1,
BUCHAN_ALL,BUCHAN,BUCHANG2,
BUCHAN_ALL,BUCHAN,BUCHANG3,
BUCKTHRN_RN,BUCKTHRN,UNIT1,
BUCKTHRN_RN,BUCKTHRN,UNIT2,
BUFF_GAP_ALL,BUFF_GAP,UNIT1,
BUFF_GAP_ALL,BUFF_GAP,UNIT2_1,
BUFF_GAP_ALL,BUFF_GAP,UNIT2_2,
BUFF_GAP_ALL,BUFF_GAP,UNIT3,
BULLCRK_1_2,BULLCRK,WND1,
BULLCRK_1_2,BULLCRK,WND2,
BVE_UNIT1,BVE,UNIT1,
BVE_UNIT2,BVE,UNIT2,
BVE_UNIT3,BVE,UNIT3,
BYRDR_ES_ALL,BYRDR_ES,BESS1,
BYU_BYU_12,BYU,BYU_G1,
BYU_BYU_12,BYU,BYU_G2,
BYU_BYU_34,BYU,BYU_G3,
BYU_BYU_34,BYU,BYU_G4,
B_DAVIS_3,B_DAVIS,B_DAVIG3,
B_DAVIS_4,B_DAVIS,B_DAVIG4,
B_D_B_DAVIG1,B_DAVIS,B_DAVIG1,
B_D_B_DAVIG2,B_DAVIS,B_DAVIG2,
CABEZON_ALL,CABEZON,WIND1,
CABEZON_ALL,CABEZON,WIND2,
CALAVER_JKS1,CALAVERS,JKS1,
CALAVER_JKS2,CALAVERS,JKS2,
CALAVER_JTD1,CALAVERS,JTD1,
CALAVER_JTD2,CALAVERS,JTD2,
CALAVER_OWS1,CALAVERS,OWS1,
CALAVER_OWS2,CALAVERS,OWS2,
CALHOUN_ALL,CALHOUN,UNIT1,
CALHOUN_ALL,CALHOUN,UNIT2,
CALLAHA_WND1,CALLAHAN,WND1,
CAL_CALGT1,CAL,CALGT1,
CAL_CALSTG1,CAL,CALSTG1,
CAMWIND_RN,CAMWIND,UNIT1,
CAPRIDG4_CR4,CAPRIDG4,BB2_PV1,
CAPRIDG4_CR4,CAPRIDG4,BB2_PV2,
CAPRIDG4_CR4,CAPRIDG4,BB_PV,
CAPRIDG4_CR4,CAPRIDG4,CR4,
CAPRIDGE_ALL,CAPRIDGE,CR1,
CAPRIDGE_ALL,CAPRIDGE,CR2,
CAPRIDGE_ALL,CAPRIDGE,CR3,
CARBN_BSP_1,CARBN,BSP_1,
CASL_GAP_UN1,CASL_GAP,BATTERY1,
CASL_GAP_UN1,CASL_GAP,UNIT1,
CATARINA_B1,CATARINA,BESS,
CBECII_89,CBECII,CT8,
CBECII_89,CBECII,STG9,
CBECII_CT7,CBECII,CT7,
CBEC_ALL,CBEC,GT1,
CBEC_ALL,CBEC,GT11,
CBEC_ALL,CBEC,GT12,
CBEC_ALL,CBEC,GT2,
CBEC_ALL,CBEC,GT3,
CBEC_ALL,CBEC,GT4,
CBEC_ALL,CBEC,STG1,
CBEC_ALL,CBEC,STG2,
CBY4_ALL,CBY4,CT41,
CBY4_ALL,CBY4,CT42,
CBY4_ALL,CBY4,ST04,
CBY_CBY_G1,CBY,CBY_G1,
